kode_koridor,koridor,layanan,n_halte,warna,koridor_id,api_url,tanggal
11T,Stasiun Cakung - Pulo Gebang,Transjakarta,6,8391B2,idjkb_11T,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_11T&transportType=transjakarta,2020-04-13
11U,Stasiun Cakung - Cakung Cilincing - Pulo Gebang,Transjakarta,13,143176,idjkb_11U,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_11U&transportType=transjakarta,2020-04-13
11V,Pulo Gebang - Pasar Baru,Transjakarta,24,022575,idjkb_11V,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_11V&transportType=transjakarta,2020-04-13
12,Penjaringan - Sunter Kelapa Gading,Transjakarta,29,62BD73,idjkb_12,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_12&transportType=transjakarta,2020-04-13
12A,Kota - Pelabuhan Kaliadem,Transjakarta,37,1B6031,idjkb_12A,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_12A&transportType=transjakarta,2020-04-13
12B,Pluit - Senen,Transjakarta,43,598E64,idjkb_12B,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_12B&transportType=transjakarta,2020-04-13
12E,History of Jakarta Explorer,Transjakarta,38,2B823B,idjkb_12E,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_12E&transportType=transjakarta,2020-04-13
12K,Asemka Explorer,Transjakarta,41,126E23,idjkb_12K,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_12K&transportType=transjakarta,2020-04-13
12M,Sunter Boulevard Barat - Harmoni,Transjakarta,13,016E15,idjkb_12M,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_12M&transportType=transjakarta,2020-04-13
13A,Blok M - Puri Beta,Transjakarta,17,5C348D,idjkb_brt_13A,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_brt_13A&transportType=transjakarta,2020-04-13
13B,Pancoran Barat - Puri Beta,Transjakarta,29,972489,idjkb_brt_13B,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_brt_13B&transportType=transjakarta,2020-04-13
13C,Tosari - Puri Beta,Transjakarta,27,69338B,idjkb_brt_13C,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_brt_13C&transportType=transjakarta,2020-04-13
13D,Ragunan - Puri Beta,Transjakarta,27,8C5D91,idjkb_brt_13D,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_brt_13D&transportType=transjakarta,2020-04-13
13E,Kuningan - Puri Beta,Transjakarta,25,761C86,idjkb_brt_13E,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_brt_13E&transportType=transjakarta,2020-04-13
13F,Kampung Melayu - Puri Beta,Transjakarta,28,730087,idjkb_brt_13F,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_brt_13F&transportType=transjakarta,2020-04-13
B11,Summarecon Bekasi - Tosari,Transjakarta,34,D1792B,idjkb_B11,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_B11&transportType=transjakarta,2020-04-13
B12,Summarecon Bekasi - Tanjung Priok,Transjakarta,32,D81D5D,idjkb_B12,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_B12&transportType=transjakarta,2020-04-13
B21,Bekasi Timur - Grogol,Transjakarta,58,3BB59C,idjkb_B21,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_B21&transportType=transjakarta,2020-04-13
B22,Bekasi Timur - Juanda,Transjakarta,44,72C6B6,idjkb_B22,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_B22&transportType=transjakarta,2020-04-13
D11,Depok - BKN,Transjakarta,24,669043,idjkb_D11,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_D11&transportType=transjakarta,2020-04-13
D21,Universitas Indonesia - Lebak Bulus,Transjakarta,80,8AAE6B,idjkb_brt_D21,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_brt_D21&transportType=transjakarta,2020-04-13
D31,Cinere - Kuningan,Royaltrans,38,8BBD62,idjkb_D31,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_D31&transportType=transjakarta,2020-04-13
DA1,Stasiun MRT Dukuh Atas - Sam Ratulangi,Transjakarta,29,8CFF40,idjkb_DA1,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_DA1&transportType=transjakarta,2020-04-13
DA2,Stasiun MRT Dukuh Atas - Tanah Abang,Transjakarta,28,FF73DC,idjkb_DA2,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_DA2&transportType=transjakarta,2020-04-13
DA3,Stasiun MRT Dukuh Atas - Kuningan,Transjakarta,46,4040FF,idjkb_DA3,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_DA3&transportType=transjakarta,2020-04-13
DA4,Stasiun MRT Dukuh Atas - Kota,Transjakarta,59,F7B772,idjkb_DA4,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_DA4&transportType=transjakarta,2020-04-13
L4,PGC 2 - Tosari,Transjakarta,20,43C7CE,idjkb_L4,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_L4&transportType=transjakarta,2020-04-13
L6,Monas - Ragunan,Transjakarta,25,6B823E,idjkb_L6,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_L6&transportType=transjakarta,2020-04-13
L7,Kampung Rambutan - Kampung Melayu,Transjakarta,7,992765,idjkb_L7,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_L7&transportType=transjakarta,2020-04-13
L10,PGC 2 - Tanjung Priok,Transjakarta,17,EF3134,idjkb_L10,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_L10&transportType=transjakarta,2020-04-13
MR1,Blok M - Pakubuwono,Transjakarta,17,4D2D85,idjkb_MR1,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_MR1&transportType=transjakarta,2020-04-13
MR2,Blok M - Kramat Pela,Transjakarta,19,553191,idjkb_MR2,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_MR2&transportType=transjakarta,2020-04-13
MR3,Blok M - Wijaya,Transjakarta,23,633AAB,idjkb_MR3,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_MR3&transportType=transjakarta,2020-04-13
MR5,Stasiun MRT Blok A - Radio Dalam,Transjakarta,19,7243C4,idjkb_MR5,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_MR5&transportType=transjakarta,2020-04-13
MR8,Stasiun MRT Blok A - Pangeran Antasari,Transjakarta,31,8950EB,idjkb_MR8,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_MR8&transportType=transjakarta,2020-04-13
MR9,South Quarter - Lebak Bulus,Transjakarta,20,9054F7,idjkb_MR9,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_MR9&transportType=transjakarta,2020-04-13
S11,BSD Serpong - Jelambar,Transjakarta,49,0FA8D4,idjkb_S11,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_S11&transportType=transjakarta,2020-04-13
S21,Ciputat - Tosari,Transjakarta,65,D8B527,idjkb_S21,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_S21&transportType=transjakarta,2020-04-13
S22,Ciputat - Kampung Rambutan,Transjakarta,39,DB8B29,idjkb_S22,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_S22&transportType=transjakarta,2020-04-13
1Q,Blok M - Rempoa,Transjakarta,49,FF9411,idjkb_S23,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_S23&transportType=transjakarta,2020-04-13
S41,Pondok Cabe - Tanah Abang,Transjakarta,122,DBA460,idjkb_S41,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_S41&transportType=transjakarta,2020-04-13
T11,Poris Plawad - Bundaran Senayan,Transjakarta,55,8F4B98,idjkb_T11,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_T11&transportType=transjakarta,2020-04-13
T12,Poris Plawad - Juanda,Transjakarta,52,C3378D,idjkb_T12,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_T12&transportType=transjakarta,2020-04-13
1K,Cibubur - Blok M,Royaltrans,14,FF4271,idjkb_1K,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_1K&transportType=transjakarta,2020-04-13
1T,Cibubur - Kota,Royaltrans,47,BF5871,idjkb_1T,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_1T&transportType=transjakarta,2020-04-13
1U,TMII - Balai Kota,Royaltrans,31,F87292,idjkb_1U,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_1U&transportType=transjakarta,2020-04-13
