KodeRute,NamaRute,API_URL
7E,Kampung Rambutan - Ragunan,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_7E&transportType=transjakarta
7F,Kampung Rambutan - Harmoni via Cempaka Putih,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_7F&transportType=transjakarta
7M,Kampung Rambutan - Pulogadung,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_7M&transportType=transjakarta
7N,Gandaria - Kampung Rambutan,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_7N&transportType=transjakarta
7P,Pondok Kelapa - BKN,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_7P&transportType=transjakarta
8,Lebak Bulus - Harmoni Central,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_8&transportType=transjakarta
8A,Grogol 2 - Juanda,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_8A&transportType=transjakarta
8C,Iskandar Muda - St. Tanah Abang,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_8C&transportType=transjakarta
8D,Joglo - Blok M,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_8D&transportType=transjakarta
8E,Bintaro - Blok M,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_8E&transportType=transjakarta
8F,Stasiun BNI City - Pasar Kebayoran Lama,NA
8K,Batusari - Tanah Abang,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_8K&transportType=transjakarta
9,Pinang Ranti - Pluit,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_9&transportType=transjakarta
9A,PGC 2 - Pluit,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_9A&transportType=transjakarta
9B,Pinang Ranti - Kota,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_9B&transportType=transjakarta
